backbone_id	n_train_macro_regions	n_test_macro_regions	n_new_macro_regions	new_macro_regions	macro_region_jump_label	n_train_host_families	n_test_host_families	n_new_host_families	new_host_families	host_family_jump_label	n_train_host_orders	n_test_host_orders	n_new_host_orders	new_host_orders	host_order_jump_label	weighted_new_country_burden	rarity_weighted_new_country_burden	n_new_countries_recomputed
AB371	0	3	3	Asia,Europe,Middle East and West Asia		1	2	1	Comamonadaceae		1	2	1	Burkholderiales		1.225584827779424	8.590496675251126	9
AA155	0	3	3	Asia,Europe,North America		1	1	0			1	1	0			0.3303296279525085	6.202230125658603	7
AA537	0	5	5	Asia,Europe,Latin America and Caribbean,Middle East and West Asia,North America		0	2	2	Enterobacteriaceae,Yersiniaceae		0	1	1	Enterobacterales		1.502631362182906	14.071903756717326	15
AC510	0	3	3	Asia,Europe,North America		1	1	0			1	1	0			1.2938046005719794	11.393948888891845	12
AA344	0	4	4	Asia,Europe,North America,Oceania		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.341898972149224	4.33000451282905	5
AA315	0	5	5	Africa,Asia,Europe,North America,Oceania		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		1.590895143722067	14.102112566171371	15
AB270	0	0	0			0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.0	0.0	0
AB050	0	4	4	Asia,Europe,North America,Oceania		1	1	0			1	1	0			0.7931112330148257	10.335164883971391	11
AA175	1	7	6	Africa,Asia,Latin America and Caribbean,Middle East and West Asia,North America,Oceania	1.0	1	2	1	Pseudomonadaceae	1.0	1	2	1	Pseudomonadales	1.0	2.599553909056665	17.950964779963197	19
AA378	2	7	5	Africa,Asia,Latin America and Caribbean,Middle East and West Asia,Oceania	1.0	2	2	1	Burkholderiaceae	1.0	2	2	1	Burkholderiales	1.0	6.397752648851054	34.28572995605268	35
AA295	2	5	3	Asia,Middle East and West Asia,Oceania	1.0	1	1	0		0.0	1	1	0		0.0	1.4063777954222145	5.655252771217357	6
AA329	0	4	4	Asia,Europe,Latin America and Caribbean,North America		1	1	0			1	1	0			1.2100557678314317	12.956650573334192	14
AA156	0	3	3	Asia,Europe,North America		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.3957247129391851	5.27679951924298	6
AB002	1	5	4	Africa,Asia,Europe,North America	1.0	1	1	0		0.0	1	1	0		0.0	2.7650655862413456	20.167905539495088	21
AB059	0	3	3	Asia,Europe,North America		0	2	2	Enterobacteriaceae,Yersiniaceae		0	1	1	Enterobacterales		0.549855847281983	7.165463948446455	8
AA747	0	7	7	Africa,Asia,Europe,Latin America and Caribbean,Middle East and West Asia,North America,Oceania		1	1	0			1	1	0			5.091008554467332	31.138413992768598	32
AA739	2	7	5	Africa,Europe,Latin America and Caribbean,Middle East and West Asia,Oceania	1.0	2	4	2	Erwiniaceae,Pseudomonadaceae	1.0	1	2	1	Pseudomonadales	1.0	6.971342863376079	35.30467716274973	36
AG165	0	2	2	Europe,North America		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.2174478506618186	3.640253554422136	4
AB042	1	5	4	Asia,Europe,Middle East and West Asia,North America		1	2	1	Burkholderiaceae		1	2	1	Burkholderiales		2.004537296250977	19.07539798502492	20
AB233	3	7	4	Africa,Asia,Middle East and West Asia,Oceania		1	1	0			1	1	0			4.362484981285547	26.293716557114656	27
AA627	2	6	4	Africa,Asia,Europe,Oceania	1.0	1	2	1	Yersiniaceae	1.0	1	1	0		0.0	1.0360521297114578	10.245314629470565	11
AA302	1	4	3	Asia,Europe,Latin America and Caribbean	1.0	1	2	1	Vibrionaceae	1.0	1	2	1	Vibrionales	1.0	0.7434109604771781	7.475473255582761	8
AG690	0	1	1	Asia		1	1	0			1	1	0			0.19245008972987526	0.9828897338403042	1
AB446	0	4	4	Asia,Europe,North America,Oceania		1	2	1	Peptoniphilaceae		1	2	1	Tissierellales		0.5945235712079369	7.372672082264788	8
AA336	2	7	5	Africa,Asia,Latin America and Caribbean,Middle East and West Asia,Oceania	1.0	1	2	1	Morganellaceae	1.0	1	1	0		0.0	3.387095152855206	24.28024372994897	25
AD485	1	4	4	Asia,Europe,North America,Oceania	1.0	1	1	0		0.0	1	1	0		0.0	1.379239513599976	12.265317587776474	13
AA338	2	7	5	Africa,Europe,Latin America and Caribbean,North America,Oceania	1.0	1	2	1	Aeromonadaceae	1.0	1	2	1	Aeromonadales	1.0	5.290226577396697	31.92458808388868	33
AA379	6	7	1	Middle East and West Asia		27	150	129	Acaryochloridaceae,Acetobacteraceae,Acholeplasmataceae,Acidithiobacillaceae,Actinomycetaceae,Aerococcaceae,Aeromonadaceae,Akkermansiaceae,Alcaligenaceae,Alicyclobacillaceae,Alteromonadaceae,Amorphaceae,Anaerolineaceae,Anaerovoracaceae,Anaplasmataceae,Aristaeellaceae,Azospirillaceae,Bacteroidaceae,Bartonellaceae,Bifidobacteriaceae,Bogoriellaceae,Borreliaceae,Brevibacteriaceae,Brucellaceae,Bryobacteraceae,Burkholderiaceae,Caldicellulosiruptoraceae,Calotrichaceae,Campylobacteraceae,Candidatus_Fermentimicrarchaeaceae,Candidatus_Manganitrophaceae,Candidatus_Rhabdochlamydiaceae,Carnobacteriaceae,Catalimonadaceae,Cellvibrionaceae,Chitinibacteraceae,Chlamydiaceae,Clostridiaceae,Comamonadaceae,Coriobacteriaceae,Corynebacteriaceae,Coxiellaceae,Cytophagaceae,Deinococcaceae,Desulfovibrionaceae,Dethiosulfovibrionaceae,Eggerthellaceae,Endozoicomonadaceae,Enterococcaceae,Erwiniaceae,Erysipelotrichaceae,Erythrobacteraceae,Eubacteriaceae,Fastidiosibacteraceae,Flammeovirgaceae,Flavobacteriaceae,Fluviibacteraceae,Fusobacteriaceae,Geminocystaceae,Gloeobacteraceae,Glycomycetaceae,Haladaptataceae,Halomonadaceae,Helicobacteraceae,Hydrogenimonadaceae,Hymenobacteraceae,Lactobacillaceae,Legionellaceae,Leptospiraceae,Listeriaceae,Magnetococcaceae,Marinobacteraceae,Merismopediaceae,Mesoaciditogaceae,Metamycoplasmataceae,Methylobacteriaceae,Methylococcaceae,Methylocystaceae,Methylothermaceae,Microbacteriaceae,Microbulbiferaceae,Micrococcaceae,Microcoleaceae,Micromonosporaceae,Monoglobaceae,Moraxellaceae,Morganellaceae,Mycobacteriaceae,Myxococcaceae,Neisseriaceae,Nevskiaceae,Nitratiruptoraceae,Nitrobacteraceae,Nocardiaceae,Nocardioidaceae,Nostocaceae,Oceanospirillaceae,Oscillatoriaceae,Oscillospiraceae,Oxalobacteraceae,Paenibacillaceae,Paracoccaceae,Pasteurellaceae,Peptostreptococcaceae,Phyllobacteriaceae,Pleioneaceae,Pseudomonadaceae,Pseudonocardiaceae,Rhizobiaceae,Rhodanobacteraceae,Rickettsiaceae,Rikenellaceae,Roseobacteraceae,Saprospiraceae,Shewanellaceae,Sphingobacteriaceae,Sphingomonadaceae,Spirochaetaceae,Spiroplasmataceae,Spirosomataceae,Staphylococcaceae,Tannerellaceae,Thermosynechococcaceae,Thiotrichaceae,Vallitaleaceae,Vibrionaceae,Weeksellaceae,Yersiniaceae,Zooshikellaceae		21	81	63	Acaryochloridales,Acholeplasmatales,Acidithiobacillales,Actinomycetales,Aeromonadales,Anaerolineales,Bifidobacteriales,Bryobacterales,Burkholderiales,Caldicellulosiruptorales,Candidatus_Fermentimicrarchaeales,Candidatus_Troglogloeales,Cellvibrionales,Chlamydiales,Coriobacteriales,Deinococcales,Desulfovibrionales,Eggerthellales,Entomoplasmatales,Erysipelotrichales,Eubacteriales,Flavobacteriales,Fusobacteriales,Gloeobacterales,Glycomycetales,Hyphomicrobiales,Lachnospirales,Legionellales,Leptospirales,Magnetococcales,Mesoaciditogales,Methylococcales,Micrococcales,Micromonosporales,Monoglobales,Moraxellales,Mycobacteriales,Mycoplasmoidales,Myxococcales,Nautiliales,Neisseriales,Nevskiales,Nostocales,Oceanospirillales,Oscillatoriales,Parachlamydiales,Pasteurellales,Peptostreptococcales,Pseudomonadales,Pseudonocardiales,Rhodobacterales,Rhodocyclales,Rhodospirillales,Rickettsiales,Saprospirales,Sphingobacteriales,Sphingomonadales,Spirochaetales,Synechococcales,Synergistales,Thiotrichales,Verrucomicrobiales,Vibrionales		17.874135616878306	52.69438754937001	53
AA521	0	5	5	Asia,Europe,Latin America and Caribbean,North America,Oceania		1	1	0			1	1	0			1.3421270415279871	16.7538603107959	18
AA144	1	5	4	Africa,Asia,Europe,Latin America and Caribbean	1.0	1	2	1	Pectobacteriaceae	1.0	1	1	0		0.0	0.5927719670295077	6.403476913363046	7
